Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
Linkage (software),OpenAlex,"In programming languages, particularly the compiled languages like C, C++, and D, linkage describes how names can or can not refer to the same entity throughout the whole program or one single translation unit. The static keyword is used in C to restrict the visibility of a function or variable to its translation unit.",46,"https://doi.org/10.5465/amj.2009.36461950,https://doi.org/10.2307/255511,https://doi.org/10.1037/0021-9010.85.6.848"
Cognitive style,OpenAlex,"Cognitive style or thinking style is a concept used in cognitive psychology to describe the way individuals think, perceive and remember information. Cognitive style differs from cognitive ability (or level), the latter being measured by aptitude tests or so-called intelligence tests.",45,"https://doi.org/10.1037/0021-9010.85.6.996,https://doi.org/10.1348/096317903765913722,https://doi.org/10.5465/amj.2013.1042"
Job loss,OpenAlex,Job loss may refer to:,45,"https://doi.org/10.1037/0021-9010.74.5.759,https://doi.org/10.1016/j.jvb.2006.05.007,https://doi.org/10.1037/0021-9010.63.3.267"
Rumination,OpenAlex,Rumination may refer to:,45,"https://doi.org/10.1037/a0033656,https://doi.org/10.1177/0149206314550995,https://doi.org/10.1037/apl0000019"
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),OpenAlex,"Severe acute respiratory syndrome coronavirus 2 (SARS‑CoV‑2) is a coronavirus that causes COVID-19, the respiratory illness responsible for the COVID-19 pandemic that began in late 2019. The virus previously had the provisional name 2019 novel coronavirus (2019-nCoV), and has also been called human coronavirus 2019 (HCoV-19 or hCoV-19).",44,"https://doi.org/10.1037/apl0000819,https://doi.org/10.1037/apl0000906,https://doi.org/10.1037/apl0000865"
Authoritarianism,OpenAlex,"Authoritarianism is a political system characterized by the rejection of political plurality, the use of strong central power to preserve the political status quo, and reductions in democracy, separation of powers, civil liberties, and the rule of law. Authoritarian regimes may be either autocratic or oligarchic and may be based upon the rule of a party, the military, or the concentration of power in a single person.",43,"https://doi.org/10.1037/0021-9010.92.1.191,https://doi.org/10.5465/amj.2010.0400,https://doi.org/10.1177/0149206311410604"
Job shadow,OpenAlex,"Job shadowing (or work shadowing) is a type of on-the-job learning. It may be a part of an onboarding process, or part of a career or leadership development program.",42,"https://doi.org/10.1037/0021-9010.71.3.432,https://doi.org/10.1016/j.jvb.2015.11.007,https://doi.org/10.1037/0021-9010.77.3.272"
Noise (video),OpenAlex,"Noise, commonly known as static, white noise, static noise, or snow, in analog video, CRTs and television, is a random dot pixel pattern of static displayed when no transmission signal is obtained by the antenna receiver of television sets and other display devices.   == Description == The random pixel pattern superimposed on the picture or the television screen, being visible as a random flicker of ""dots"", ""snow"", ""fuzzy zig-zags"" or etc.",42,"https://doi.org/10.1037/0021-9010.63.4.458,https://doi.org/10.1037/0021-9010.85.5.779,https://doi.org/10.1037/0021-9010.84.6.977"
Cognitive appraisal,OpenAlex,"Cognitive appraisal (also called simply 'appraisal') is the subjective interpretation made by an individual to stimuli in the environment. It is a component in a variety of theories relating to stress, mental health, coping, and emotion.",41,"https://doi.org/10.1037/0021-9010.66.2.127,https://doi.org/10.1037/0021-9010.91.5.1154,https://doi.org/10.1037/0021-9010.93.5.1104"
Cooperative learning,OpenAlex,"Cooperative learning is an educational approach which aims to organize classroom activities into academic and social learning experiences. There is much more to cooperative learning than merely arranging students into groups, and it has been described as ""structuring positive interdependence."" Students must work in groups to complete tasks collectively toward academic goals.",40,"https://doi.org/10.5465/amj.2005.17407918,https://doi.org/10.1037/0021-9010.88.3.552,https://doi.org/10.1037/0021-9010.92.3.628"
Charismatic authority,OpenAlex,"In the field of sociology, charismatic authority is a concept of organizational leadership wherein the authority of the leader derives from the personal charisma of the leader. In the tripartite classification of authority, the sociologist Max Weber contrasts charismatic authority (character, heroism, leadership, religious) against two other types of authority: (i) rational-legal authority (modern law, the sovereign state, bureaucracy) and (ii) traditional authority (patriarchy, patrimonialism, feudalism).",39,"https://doi.org/10.1037/0021-9010.81.1.36,https://doi.org/10.1037/a0034531,https://doi.org/10.1002/1099-1379(200011)21:7<747::aid-job46>3.0.co;2-j"
Cynicism,OpenAlex,Cynic or Cynicism may refer to:,39,"https://doi.org/10.1016/j.jvb.2011.05.009,https://doi.org/10.1037/0021-9010.93.2.374,https://doi.org/10.1016/s0001-8791(02)00030-1"
Job rotation,OpenAlex,Job rotation is the lateral transfer of employees between jobs in an organization without a change in their hierarchical rank or salary grade. Rotated employees usually do not remain in these jobs permanently and may also not return to former jobs.,39,"https://doi.org/10.2307/3069447,https://doi.org/10.1037/0021-9010.71.3.432,https://doi.org/10.1037/0021-9010.88.6.1057"
Negative feedback,OpenAlex,"Negative feedback (or balancing feedback) occurs when some function of the output of a system, process, or mechanism is fed back in a manner that tends to reduce the fluctuations in the output, whether caused by changes in the input or by other disturbances.  Whereas positive feedback tends to instability via exponential growth, oscillation or chaotic behavior, negative feedback generally promotes stability.",39,"https://doi.org/10.1037/0021-9010.87.3.506,https://doi.org/10.1177/0149206313484521,https://doi.org/10.1037/0021-9010.86.5.930"
Team learning,OpenAlex,"Team learning is the collaborative effort to achieve a common goal within the group. The aim of team learning is to attain the objective through dialogue and discussion, conflicts and defensive routines, and practice within the group.",38,"https://doi.org/10.5465/amj.2005.17407918,https://doi.org/10.1037/0021-9010.88.3.552,https://doi.org/10.1037/0021-9010.92.3.628"
Elite,OpenAlex,"In political and sociological theory, the elite ( or ; from French: élite, from Latin: eligere, to select or to sort out) are a small group of powerful or wealthy people who hold a disproportionate amount of wealth, privilege, political power, or skill in a group. Defined by the Cambridge Dictionary, the ""elite"" are ""the richest, most powerful, best-educated, or best-trained group in a society"".",37,"https://doi.org/10.5465/amj.2006.20785498,https://doi.org/10.1177/014920630002600605,https://doi.org/10.5465/amj.2013.1204"
Layoff,OpenAlex,"A layoff or downsizing is the temporary suspension or permanent termination of employment of an employee or, more commonly, a group of employees (collective layoff) for business reasons, such as personnel management or downsizing an organization. Originally, layoff referred exclusively to a temporary interruption in work, or employment but this has evolved to a permanent elimination of a position in both British and US English, requiring the addition of ""temporary"" to specify the original meaning of the word.",37,"https://doi.org/10.1002/job.4030110503,https://doi.org/10.2307/256410,https://doi.org/10.1002/job.518"
Social cognition,OpenAlex,"Social cognition is a topic within psychology that focuses on how people process, store, and apply information about other people and social situations. It focuses on the role that cognitive processes play in social interactions.",37,"https://doi.org/10.1037/0021-9010.88.1.87,https://doi.org/10.1016/j.jvb.2006.02.006,https://doi.org/10.1016/j.jvb.2008.01.002"
Type A and Type B personality theory,OpenAlex,"The Type A and Type B personality theory associates two contrasting personality types with different incidence of coronary heart disease. According to the theory, people who are habitually competitive and impatient are labeled Type A, while more relaxed people are labeled Type B. While it was widely discussed in early health psychology research, the theory is now mostly considered historical and is not commonly used in modern personality psychology.",37,"https://doi.org/10.1016/s0001-8791(02)00040-4,https://doi.org/10.2307/255998,https://doi.org/10.1037/0021-9010.73.4.621"
Open learning,OpenAlex,Open learning is a movement in education that emerged in the 1970s and evolved into fields of practice and study. The term refers generally to activities that either enhance learning opportunities within formal education systems or broaden learning opportunities beyond formal education systems.,35,"https://doi.org/10.5465/amj.2005.17407918,https://doi.org/10.1037/0021-9010.88.3.552,https://doi.org/10.1037/0021-9010.92.3.628"
Strategic human resource planning,OpenAlex,Human resource planning is a process that identifies current and future human resources needs for an organization to achieve its goals. Human resource planning should serve as a link between human resource management and the overall strategic plan of an organization.,34,"https://doi.org/10.1177/014920639201800205,https://doi.org/10.1177/014920630102700607,https://doi.org/10.2307/257025"
Halo effect,OpenAlex,"The halo effect (sometimes called the halo error) — a term coined by Edward Thorndike — is the tendency for positive impressions of a person, company, country, brand, or product in one area to positively influence one's opinion or feelings of a person, company, country, brand, or product in another area.  It is ""the name given to the phenomenon whereby evaluators tend to be influenced by their previous judgments of performance or personality;"" in other words, it is a cognitive bias that can prevent people from forming an image based on the sum of all circumstances at hand.",33,"https://doi.org/10.2307/256676,https://doi.org/10.1037/0021-9010.60.5.556,https://doi.org/10.1037/0021-9010.68.1.102"
Physical attractiveness,OpenAlex,Physical attractiveness is the extent to which a person's physical features are considered aesthetically pleasing or beautiful. The term often implies sexual attractiveness or desirability but can also be distinct from them.,33,"https://doi.org/10.1111/j.1744-6570.2003.tb00157.x,https://doi.org/10.1037/h0076352,https://doi.org/10.1037/0021-9010.62.3.288"
Voting,OpenAlex,"Voting is the process of making collective decisions by means of submitting and then adding up individual choices.  The choice voted upon is often a candidate for office, but the object of a vote can be anything, for example what kind of food to buy or whether a defendant is innocent or guilty.",33,"https://doi.org/10.1037/0021-9010.72.2.315,https://doi.org/10.1002/job.310,https://doi.org/10.5465/amj.2011.59215081"
Code (set theory),OpenAlex,"In set theory, a code for a hereditarily countable set                         x         ∈                    H                                       ℵ                                1                                                                          {\displaystyle x\in H_{\aleph _{1}}\,}     is a set                         E         ⊂         ω         ×         ω                 {\displaystyle E\subset \omega \times \omega }     such that there is an isomorphism between                         (         ω         ,         E         )                 {\displaystyle (\omega ,E)}     and                         (         X         ,         ∈         )                 {\displaystyle (X,\in )}     where                         X                 {\displaystyle X}     is the transitive closure of                         {         x         }                 {\displaystyle \{x\}}    .  If                         X                 {\displaystyle X}     is finite (with cardinality                         n                 {\displaystyle n}    ), then use                         n         ×         n                 {\displaystyle n\times n}     instead of                         ω         ×         ω                 {\displaystyle \omega \times \omega }     and                         (         n         ,         E         )                 {\displaystyle (n,E)}     instead of                         (         ω         ,         E         )                 {\displaystyle (\omega ,E)}    .",32,"https://doi.org/10.5465/amj.2006.22083027,https://doi.org/10.5465/amj.2010.0628,https://doi.org/10.1037/h0046447"
Content validity,OpenAlex,"In psychometrics, content validity (also known as logical validity) refers to the extent to which a measure represents all facets of a given construct. For example, a depression scale may lack content validity if it only assesses the affective dimension of depression but fails to take into account the behavioral dimension.",32,"https://doi.org/10.1111/j.1744-6570.1975.tb01393.x,https://doi.org/10.1177/014920639101700307,https://doi.org/10.1177/014920639301900208"
Lie detection,OpenAlex,Lie detection is an assessment of a verbal statement with the goal to reveal a possible intentional deceit. Lie detection may refer to a cognitive process of detecting deception by evaluating message content as well as non-verbal cues.,32,"https://doi.org/10.1037/0021-9010.89.1.137,https://doi.org/10.1037/0021-9010.85.1.30,https://doi.org/10.1037/0021-9010.86.4.674"
Organizational conflict,OpenAlex,"Organizational conflict, or workplace conflict, is a state of discord caused by the actual or perceived opposition of needs, values and interests between people working together. Conflict takes many forms in organizations.",32,"https://doi.org/10.2307/3069453,https://doi.org/10.1037/0021-9010.83.2.139,https://doi.org/10.2307/255985"
Pay for performance,OpenAlex,"Pay for performance may refer to:  Pay for performance (human resources), a system of employee payment in the United States that links compensation to measures of work quality or goals Pay for performance (healthcare), an emerging movement in health insurance in Britain and the United States, in which providers are rewarded for quality of healthcare system Pay-for-Performance (Federal Government), proposed and implemented systems of incentive pay based on job performance metrics.",32,"https://doi.org/10.2307/256908,https://doi.org/10.5465/amj.2007.24634448,https://doi.org/10.1348/0963179041752646"
Telecommuting,OpenAlex,"Remote work is the practice of working at or from one's home or another space rather than from an office or workplace. The practice of working at home has been documented for centuries, but remote work for large employers began on a small scale in the 1970s, when technology was developed that could link satellite offices to downtown mainframes through dumb terminals using telephone lines as a network bridge.",32,"https://doi.org/10.1037/0021-9010.92.6.1524,https://doi.org/10.1002/job.144,https://doi.org/10.1016/j.jvb.2005.07.002"
Marital status,OpenAlex,"Civil status, or marital status, are the distinct options that describe a person's relationship with a significant other. Married, single, divorced, and widowed are examples of civil status.",31,"https://doi.org/10.1016/j.jvb.2004.08.009,https://doi.org/10.1016/j.jvb.2012.06.003,https://doi.org/10.1016/j.jvb.2010.09.002"
Stakeholder theory,OpenAlex,"The stakeholder theory is a theory of organizational management and business ethics that accounts for multiple constituencies impacted by business entities like employees, suppliers, local communities, creditors, and others. It addresses morals and values in managing an organization, such as those related to corporate social responsibility, market economy,  and social contract theory.",31,"https://doi.org/10.5465/256972,https://doi.org/10.2307/256972,https://doi.org/10.5465/256876"
Systematic review,OpenAlex,"A systematic review is a scholarly synthesis of the evidence on a clearly presented topic using critical methods to identify, define and assess research on the topic. A systematic review extracts and interprets data from published studies on the topic (in the scientific literature), then analyzes, describes, critically appraises and summarizes interpretations into a refined evidence-based conclusion.",31,"https://doi.org/10.1177/0149206316675927,https://doi.org/10.1016/j.jvb.2018.05.012,https://doi.org/10.1002/job.2167"
Work–life balance,OpenAlex,"In the intersection of work and personal life, the work–life balance is the equilibrium between the two. There are many aspects of one's personal life that can intersect with work, including family, leisure, and health.",31,"https://doi.org/10.1016/s0001-8791(02)00042-8,https://doi.org/10.1016/j.jvb.2014.08.010,https://doi.org/10.1037/0021-9010.90.1.132"
Machiavellianism,OpenAlex,"Machiavellianism may refer to:   Machiavellianism (politics), the political philosophy of Niccolò Machiavelli, usually associated with various forms of political realism. Machiavellianism (psychology), a scale in personality psychology that measures one's cold affect and manipulative orientation.",30,"https://doi.org/10.1037/a0025679,https://doi.org/10.1037/0021-9010.93.2.374,https://doi.org/10.1177/0149206308318618"
Management control system,OpenAlex,"A management control system (MCS) is a system which gathers and uses information to evaluate the performance of different organizational resources like human, physical, financial and also the organization as a whole in light of the organizational strategies pursued. Management control system influences the behavior of organizational resources to implement organizational strategies.",30,"https://doi.org/10.2307/257099,https://doi.org/10.2307/256325,https://doi.org/10.2307/255895"
Work schedule,OpenAlex,"A schedule (UK: , US: ) or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place. The process of creating a schedule — deciding how to order these tasks and how to commit resources between the variety of possible tasks — is called scheduling, and a person responsible for making a particular schedule may be called a scheduler.",30,"https://doi.org/10.1002/job.102,https://doi.org/10.1006/jvbe.1996.1557,https://doi.org/10.1016/j.jvb.2007.10.015"
Capitalism,OpenAlex,"Capitalism is an economic system based on the private ownership of the means of production and its use for the purpose of obtaining profit. This socioeconomic system has developed historically in several stages, and is defined by a number of constituent elements: private property, profit motive, capital accumulation, competitive markets, commodification, wage labor, and an emphasis on innovation and economic growth.",29,"https://doi.org/10.1111/j.2044-8325.1997.tb00645.x,https://doi.org/10.1002/1099-1379(200011)21:7<789::aid-job59>3.0.co;2-w,https://doi.org/10.2307/255757"
Ego depletion,OpenAlex,"Ego depletion is the idea that self-control or willpower draws upon conscious mental resources that can be taxed to exhaustion when in constant use with no reprieve (with the word ""ego"" used in the psychoanalytic sense rather than the colloquial sense). The theory proposes that when the energy for mental activity is low, self-control is typically impaired, which would be considered a state of ego depletion.",29,"https://doi.org/10.5465/amj.2013.1063,https://doi.org/10.1037/apl0000098,https://doi.org/10.1037/apl0000018"
Grounded theory,OpenAlex,Grounded theory is a systematic methodology that has been largely applied to qualitative research conducted by social scientists. The methodology involves the construction of hypotheses and theories through the analysis of data and inductive reasoning.,29,"https://doi.org/10.5465/amj.2006.22083020,https://doi.org/10.1016/s0149-2063(01)00093-9,https://doi.org/10.1016/s0149-2063(03)00019-9"
Public opinion,OpenAlex,"Public opinion, or popular opinion, is the collective opinion on a specific topic or voting intention relevant to society. It is the people's views on matters affecting them.",29,"https://doi.org/10.5465/amj.2007.24162209,https://doi.org/10.2307/255812,https://doi.org/10.1002/job.2471"
Situational leadership theory,OpenAlex,The  Situational Leadership Model is the idea that effective leaders adapt their style to each situation.  No one style is appropriate for all situations.,29,"https://doi.org/10.1177/014920638901500207,https://doi.org/10.1177/0149206316665461,https://doi.org/10.1037/a0012695"
Social identity approach,OpenAlex,"""Social identity approach"" is an umbrella term designed to show that there are two methods used by academics to describe certain complex social phenomena—namely the dynamics between groups and individuals. Those two theoretical methods are called social identity theory and self-categorization theory.",29,"https://doi.org/10.5465/amj.2006.20786060,https://doi.org/10.1037/a0013935,https://doi.org/10.5465/amj.2006.22798186"
Social network analysis,OpenAlex,"Social network analysis (SNA) is the process of investigating social structures through the use of networks and graph theory. It characterizes networked structures in terms of nodes (individual actors, people, or things within the network) and the ties, edges, or links (relationships or interactions) that connect them.",29,"https://doi.org/10.1016/s0149-2063(03)00087-4,https://doi.org/10.5465/amj.2006.20785503,https://doi.org/10.1177/0149206311432640"
Underemployment,OpenAlex,"Underemployment is the underuse of a worker because their job does not use their skills, offers them too few hours, or leaves the worker idle. It is contrasted with unemployment, where a person lacks a job at all despite wanting one.",29,"https://doi.org/10.1002/job.389,https://doi.org/10.1016/j.jvb.2012.10.003,https://doi.org/10.1177/0149206311398134"
Amplifier,OpenAlex,"An amplifier, electronic amplifier or (informally) amp is an electronic device that can increase the magnitude of a signal (a time-varying voltage or current).  It is a two-port electronic circuit that uses electric power from a power supply to increase the amplitude (magnitude of the voltage or current) of a signal applied to its input terminals, producing a proportionally greater amplitude signal at its output.",28,"https://doi.org/10.1177/014920639001600304,https://doi.org/10.1037/0021-9010.75.5.581,https://doi.org/10.1037/0021-9010.84.5.754"
Career education,OpenAlex,Vocational education is education that prepares people for a skilled craft. Vocational education can also be seen as that type of education given to an individual to prepare that individual to be gainfully employed or self employed with requisite skill.,28,"https://doi.org/10.1016/j.jvb.2002.11.002,https://doi.org/10.1016/j.jvb.2019.02.013,https://doi.org/10.1016/j.jvb.2010.09.011"
Customer service,OpenAlex,"Customer service is the assistance and advice provided by a company to those who buy or use its products or services, either in person or remotely. Customer service is often practiced in a way that reflects the strategies and values of a firm, and levels vary according to the industry.",28,"https://doi.org/10.2307/20159559,https://doi.org/10.5465/amj.2009.44634116,https://doi.org/10.5465/amj.2011.60263093"
Distortion (music),OpenAlex,"Distortion and overdrive are forms of audio signal processing used to alter the sound of amplified electric musical instruments, usually by increasing their gain, producing a ""fuzzy"", ""growling"", or ""gritty"" tone. Distortion is most commonly used with the electric guitar, but may be used with other instruments, such as electric bass, electric piano, synthesizer, and Hammond organ.",28,"https://doi.org/10.1177/014920639001600304,https://doi.org/10.1037/0021-9010.75.5.581,https://doi.org/10.1037/0021-9010.84.5.754"
Diversity management,OpenAlex,"Diversity, equity, and inclusion (DEI) are organizational frameworks that seek to promote the fair treatment and full participation of all people, particularly groups who have historically been underrepresented, marginalized, or subject to discrimination based on identity or disability. These three notions (diversity, equity, and inclusion) together represent ""three closely linked values"", which organizations seek to institutionalize through DEI frameworks.",28,"https://doi.org/10.2307/256987,https://doi.org/10.2307/256742,https://doi.org/10.2307/3069319"
Information processing theory,OpenAlex,Information processing theory is the approach to the study of cognitive development evolved out of the American experimental tradition in psychology.  Developmental psychologists who adopt the information processing perspective account for mental development in terms of maturational changes in basic components of a child's mind.,28,"https://doi.org/10.5465/amj.2011.64870145,https://doi.org/10.1037/0021-9010.92.3.628,https://doi.org/10.1111/j.1744-6570.1995.tb01782.x"
Interpersonal attraction,OpenAlex,"Interpersonal attraction, as a part of social psychology, is the study of the attraction between people which leads to the development of platonic or romantic relationships. It is distinct from perceptions such as physical attractiveness, and involves views of what is and what is not considered beautiful or attractive.",28,"https://doi.org/10.1037/0021-9010.87.4.723,https://doi.org/10.1037/0021-9010.92.6.1499,https://doi.org/10.1016/0001-8791(88)90031-0"
Work hours,OpenAlex,Working time or laboring time is the period of time that a person spends at paid labor. Unpaid labor such as personal housework or caring for children or pets is not considered part of the working week.,27,"https://doi.org/10.1037/0021-9010.88.3.518,https://doi.org/10.1177/0149206307302552,https://doi.org/10.1111/joop.12083"
Work stress,OpenAlex,Occupational stress is chronic psychological stress related to one's job. Occupational stress can be managed by understanding what the stressful conditions at work are and taking steps to remediate those conditions.,27,"https://doi.org/10.1037/0021-9010.71.1.102,https://doi.org/10.1037/0021-9010.69.2.252,https://doi.org/10.1037/0021-9010.82.4.516"
Agency cost,OpenAlex,"An agency cost is an economic concept that refers to the costs associated with the relationship between a ""principal"" (an organization, person or group of persons), and an ""agent"". The agent is given powers to make decisions on behalf of the principal.",26,"https://doi.org/10.5465/amj.2011.0211,https://doi.org/10.1002/job.307,https://doi.org/10.5465/amj.2010.48036975"
Cognitive test,OpenAlex,Cognitive tests are assessments of the cognitive capabilities of humans and other animals. Tests administered to humans include various forms of IQ tests; those administered to animals include the mirror test (a test of visual self-awareness) and the T maze test (which tests learning ability).,26,"https://doi.org/10.1037/0021-9010.92.2.373,https://doi.org/10.1037/a0016810,https://doi.org/10.1037/0021-9010.83.3.471"
Domestic violence,OpenAlex,"Domestic violence (DV) is violence that occurs in a domestic setting, such as in a marriage or cohabitation. In a broader sense, abuse including non-physical abuse in such settings is called domestic abuse.",26,"https://doi.org/10.1037/a0021593,https://doi.org/10.1037/a0037636,https://doi.org/10.1037/a0032809"
Eyewitness memory,OpenAlex,Eyewitness memory is a person's episodic memory for a crime or other witnessed dramatic event. Eyewitness testimony is often relied upon in the judicial system.,26,"https://doi.org/10.1037/0021-9010.71.2.291,https://doi.org/10.1037/0021-9010.70.2.401,https://doi.org/10.1037//0021-9010.70.2.401"
Intrapersonal communication,OpenAlex,"Intrapersonal communication (also known as autocommunication or inner speech) is communication with oneself or self-to-self communication. Examples are thinking to oneself ""I will do better next time"" after having made a mistake or imagining a conversation with one's boss in preparation for leaving work early.",26,"https://doi.org/10.5465/amr.2008.33665310,https://doi.org/10.1037/apl0000003,https://doi.org/10.1002/job.2653"
Leadership theory,OpenAlex,"Leadership, is defined as the ability of an individual, group, or organization to influence, or guide other individuals, teams, or organizations. ""Leadership"" is a contested term.",26,"https://doi.org/10.1177/014920638901500207,https://doi.org/10.1177/0149206309347376,https://doi.org/10.1177/0149206312471388"
Organizational engineering,OpenAlex,"Organizational engineering (OE) is a form of organizational development. It was created by Gary Salton of Professional Communications, Inc.",26,"https://doi.org/10.1002/job.322,https://doi.org/10.5465/amj.2006.21794663,https://doi.org/10.1037/0021-9010.90.1.77"
Gender diversity,OpenAlex,"Gender diversity is equitable representation of people of different genders. It most commonly refers to an equitable ratio of men and women, but also includes people of non-binary genders.",25,"https://doi.org/10.5465/amj.2013.0750,https://doi.org/10.1111/j.1744-6570.2006.00055.x,https://doi.org/10.1037/a0012680"
Identity formation,OpenAlex,"Identity formation, also called identity development or identity construction, is a complex process in which humans develop a clear and unique view of themselves and of their identity. Self-concept, personality development, and values are all closely related to identity formation.",25,"https://doi.org/10.1037/0021-9010.91.5.1037,https://doi.org/10.5465/amj.2010.0538,https://doi.org/10.1016/j.jvb.2010.04.003"
Neuroleadership,OpenAlex,Neuroleadership refers to the application of findings from neuroscience to the field of leadership. The first time the concept of neuroleadership was mentioned was in 2005 in a Harvard University publication entitled Harvard Business Review.,25,"https://doi.org/10.1037/0021-9010.89.5.755,https://doi.org/10.1177/0149206309347376,https://doi.org/10.5465/amj.2009.43669971"
Occupational burnout,OpenAlex,"The ICD-11 of the World Health Organization (WHO) describes occupational burnout as a work-related phenomenon resulting from chronic workplace stress that has not been successfully managed. According to the WHO, symptoms include ""feelings of energy depletion or exhaustion; increased mental distance from one's job, or feelings of negativism or cynicism related to one's job; and reduced professional efficacy.""  Occupational burnout is classified as an occupational phenomenon but is not recognized by the WHO as a medical or psychiatric condition.",25,"https://doi.org/10.1002/job.4030020205,https://doi.org/10.1037/0021-9010.86.3.499,https://doi.org/10.1016/j.jm.2004.06.004"
Psychopathy,OpenAlex,"Psychopathy, or psychopathic personality, is a personality construct characterized by impaired empathy and remorse, persistent antisocial behavior, along with bold, disinhibited, and egocentric traits. These traits are often masked by superficial charm and immunity to stress, which create an outward appearance of normality.",25,"https://doi.org/10.1037/a0025679,https://doi.org/10.1037/a0036950,https://doi.org/10.1111/j.1744-6570.2011.01220.x"
School-to-work transition,OpenAlex,"School-to-work transition is a phrase referring to on-the-job training, apprenticeships, cooperative education agreements or other programs designed to prepare students to enter the job market. This education system is primarily employed in the United States, partially as a response to work training as it is done in Asia.",25,"https://doi.org/10.1016/j.jvb.2012.10.003,https://doi.org/10.1016/s0001-8791(02)00031-3,https://doi.org/10.1006/jvbe.2002.1885"
Stanford–Binet Intelligence Scales,OpenAlex,"The Stanford–Binet Intelligence Scales (or more commonly the Stanford–Binet) is an individually administered intelligence test that was revised from the original Binet–Simon Scale by Alfred Binet and Théodore Simon. It is in its fifth edition (SB5), which was released in 2003.",25,"https://doi.org/10.1037/h0070364,https://doi.org/10.1037/h0071332,https://doi.org/10.1037/h0059545"
Strategic financial management,OpenAlex,"Strategic financial management is the study of finance with a long term view considering the strategic goals of the enterprise. Financial management is sometimes referred to as ""Strategic Financial Management"" to give it an increased frame of reference.",25,"https://doi.org/10.1177/014920639902500307,https://doi.org/10.2307/30040665,https://doi.org/10.2307/1556383"
Strategic leadership,OpenAlex,== Processes == Strategic leadership provides techniques that focus organizations when they are deciding on their purpose and best business practices that are critical for remaining competitive and relevant.  Being able to learn and adapt has become vital for sustainability.,25,"https://doi.org/10.2307/1556356,https://doi.org/10.5465/3069417,https://doi.org/10.2307/3069417"
Interface (matter),OpenAlex,"In the physical sciences, an interface is the boundary between two spatial regions occupied by different matter, or by matter in different physical states. The interface between matter and air, or matter and vacuum, is called a surface, and studied in surface science.",24,"https://doi.org/10.1037/0021-9010.77.1.65,https://doi.org/10.1006/jvbe.1996.1577,https://doi.org/10.5465/amj.2008.32626023"
Metacognition,OpenAlex,"Metacognition is an awareness of one's thought processes and an understanding of the patterns behind them. The term comes from the root word meta, meaning ""beyond"", or ""on top of"".",24,"https://doi.org/10.1037/0021-9010.83.2.218,https://doi.org/10.1037/0021-9010.93.2.296,https://doi.org/10.1037/0021-9010.90.4.677"
Odds,OpenAlex,"In probability theory, odds provide a measure of the probability of a particular outcome. Odds are commonly used in gambling and statistics.",24,"https://doi.org/10.5465/amj.2009.0470,https://doi.org/10.1037/0021-9010.93.2.235,https://doi.org/10.1348/096317910x486385"
Protestant work ethic,OpenAlex,"The Protestant work ethic, also known as the Calvinist work ethic or the Puritan work ethic, is a work ethic concept in social sciences, particularly sociology, economics, and history. It emphasizes that a person's subscription to the values espoused by the Protestant faith, particularly Calvinism, results in diligence, discipline, and frugality.",24,"https://doi.org/10.1111/j.2044-8325.1997.tb00645.x,https://doi.org/10.1002/1099-1379(200011)21:7<789::aid-job59>3.0.co;2-w,https://doi.org/10.2307/255757"
Psychomotor learning,OpenAlex,"Psychomotor learning is the relationship between cognitive functions and physical movement. Psychomotor learning is demonstrated by physical skills such as movement, coordination, manipulation, dexterity, grace, strength, speed—actions which demonstrate the fine or gross motor skills, such as use of precision instruments or tools, and walking.",24,"https://doi.org/10.1111/j.1744-6570.1990.tb01562.x,https://doi.org/10.1037/0021-9010.77.5.598,https://doi.org/10.1111/j.1744-6570.1990.tb00680.x"
Shareholder value,OpenAlex,"Shareholder value is a business term, sometimes phrased as shareholder value maximization. The term expresses the idea that the primary goal for a business is to increase the wealth of its shareholders (owners) by paying dividends and/or causing the company's stock price to increase.",24,"https://doi.org/10.5465/amj.2011.0744,https://doi.org/10.1177/014920630102700610,https://doi.org/10.5465/amj.2010.57317829"
Decision quality,OpenAlex,"Decision quality (DQ) is the quality of a decision at the moment the decision is made, regardless of its outcome.  Decision quality concepts permit the assurance of both effectiveness and efficiency in analyzing decision problems.",23,"https://doi.org/10.1037/a0024844,https://doi.org/10.2307/256097,https://doi.org/10.2307/257010"
Job evaluation,OpenAlex,Job analysis (also known as work analysis) is a family of procedures to identify the content of a job in terms of the activities it involves in addition to the attributes or requirements necessary to perform those activities. Job analysis provides information to organizations that helps them determine which employees are best fit for specific jobs.,23,"https://doi.org/10.5465/amj.2013.1060,https://doi.org/10.2307/256201,https://doi.org/10.1111/j.1744-6570.1986.tb00575.x"
Work ethic,OpenAlex,"Work ethic is a belief that work and diligence have a moral benefit and an inherent ability, virtue, or value to strengthen character and individual abilities. The desire or determination to work serves as the foundation for values centered on the importance of work or industrious work.",23,"https://doi.org/10.1006/jvbe.2001.1838,https://doi.org/10.2307/255757,https://doi.org/10.1111/j.1744-6570.1997.tb00910.x"
